3.73177842565598,2.638765830667,0,-2.638765830667
3.44771370733075,3.44771370733075,1.42808977675602,-1.42808977675602
2.638765830667,3.73177842565598,2.638765830667,0
1.42808977675602,3.44771370733075,3.44771370733075,1.42808977675602
0,2.638765830667,3.73177842565598,2.638765830667
-1.42808977675602,1.42808977675602,3.44771370733075,3.44771370733075
-2.638765830667,0,2.638765830667,3.73177842565598
-3.44771370733075,-1.42808977675602,1.42808977675602,3.44771370733075
-3.73177842565598,-2.638765830667,0,2.638765830667
-3.44771370733075,-3.44771370733075,-1.42808977675602,1.42808977675602
-2.638765830667,-3.73177842565598,-2.638765830667,0
-1.42808977675602,-3.44771370733075,-3.44771370733075,-1.42808977675602
0,-2.638765830667,-3.73177842565598,-2.638765830667
1.42808977675602,-1.42808977675602,-3.44771370733075,-3.44771370733075
2.638765830667,0,-2.638765830667,-3.73177842565598
3.44771370733075,1.42808977675602,-1.42808977675602,-3.44771370733075
